007 夜火
风之克罗诺亚英雄 传说的星之徽章
马克思佩恩
高级战争1
高级战争2 黑洞的崛起
鬼太郎 危机一发!妖怪列岛
鬼武者 战略版
鬼眼狂刀 京
魂斗罗 异形战争
魔女啾啾GoGo 喷气女孩
魔法气泡大会战
魔法老师涅吉 课外授业2
鸟人战队1 时空大作战
鸟人战队2 荒野力量
鸟人战队3 武士风暴
鸟人战队4 暴龙作战
鸟人战队5 金刚战士S.P.D
麻将方块
麻将风云
黄金的太阳1 开启的封印
黄金的太阳2 失落的时代
龙战士1 火焔之气息
龙战士2 使命之子
龙珠GT 变身
龙珠Z 对决
龙珠Z 梧空的遗物I
龙珠Z 梧空的遗物II
龙珠Z 梧空的遗物III
龙珠Z 舞空斗剧
龙珠大冒险
